long_name,short_name
Deployment ID,id
File,file
Date,date
Time,time
Silver perch,sp
Silver perch interruption,spi
Oyster toadfish boat whistle,otbw
Oyster toadfish grunt,otg
Oyster toadfish interruption,oti
Black drum,bd
Black drum interruption,bdi
Spotted seatrout,ss
Spotted seatrout interruption,ssi
Red drum,rd
Red drum interruption,rdi
Atlantic croaker,ac
Weakfish,w
Fish interruption cause,fic
Bottlenose dolphin echolocation,bde
Bottlenose dolphin burst pulses,bdbp
Bottlenose dolphin whistles,bdw
Vessel,vessel
Rain,rain
Waves,waves
Chain,chain
Static,static
Unknown biological,ub
Unknown anthropogenic,ua
Right whale,rw
Alligator,all
Manatee,mnt
No data,none
Analyzer,analyzer